"EN_US","JPN"
"None\0Linear\0Exponential\0Quadratic\0Inverse Exponential\0Quadratic\0","なし\0リニア\0指数関数的\02次式\0逆指数関数的\02次式\0"
"Texture7MatrixIndex","テクスチャ7マトリックス"
"Position","位置"
"Theme","テーマ"
"Normal","法線"
"Format","フォーマット"
"TexCoord5","テクスチャ座標5"
"Color0","カラー0"
"TriangleFans","三角形ファン"
"Color Register ","カラーレジスタ "
"Reformat","再フォーマット"
"Rendering","レンダリング"
"TexCoord2","テクスチャ座標2"
"TexCoord3","テクスチャ座標3"
"TexCoord4","テクスチャ座標4"
"NormalBinormalTangent","法線従法線接線"
"TexCoord6","テクスチャ座標6"
"LightArray","ライト配列"
"TexCoord7","テクスチャ座標7"
"PositionMatrixArray","位置マトリックス配列"
"TextureMatrixArray","テクスチャマトリックス配列"
"Index Data","インデックスデータ"
"Vertex Descriptor","頂点記述子"
"Displacement Mapping","ディスプレイスメントマッピング"
"Configurations","設定"
"Condition","状態"
"Advanced Mode","アドバンス"
"J3D Data","J3Dデータ"
"RiiStudio ","RiiStudio"
"Camera","カメラ"
"Drop a file to edit.","ここにファイルをドラッグ"
"Importer","インポーター"
"File","ファイル"
"VSync","VSync"
"Open","開く"
"TEV Color Registers","TEVカラーレジスタ"
"Add a Configuration","設定を追加"
"Ambient Alpha","アンビエントアルファ"
"Flag","フラグ"
"Fog","フォグ"
"Orthographic\0Perspective\0","平行投影\0透視投影\0"
"ID","ID"
"Projection","投影"
"Interpolation when scaled down","縮小時に補間"
"Function","関数"
"Center","中心"
"Start Z","開始時のZ値"
"End Z","終了時のZ値"
"Near Z","近いZ値"
"Far Z","遠いZ値"
"Fog Color","フォグカラー"
"Channel ","チャンネル"
"Color Channel","カラーチャンネル"
"Sort","絞り込む"
"Vertex Colors","頂点カラー"
"Diffuse Color","ディフーズカラー"
"Ambient Color uses Vertex Colors","アンビエントカラーが頂点カラーを使用"
"Ambient Color","アンビエントカラー"
"Diffusion Type","ディフューズタイプ"
"Attenuation Type","減衰タイプ"
"Enabled Lights:","ライトを有効化:"
"Light Mask","ライトマスク"
"Alpha Channel","アルファチャンネル"
"Vertex Alpha","頂点アルファ"
"Diffuse Alpha","ディフューズアルファ"
"Vertex data","頂点データ"
"Ambient Alpha uses Vertex Alpha","アンビエントアルファが頂点アルファを使用"
"Opaque\0Stencil Alpha\0Translucent\0Custom\0","不透明\0ステンシルアルファ\0半透明\0カスタム\0"
"Configuration","設定"
"Scenegraph","シーングラフ"
"Tiling","タイリング方法"
"Render Pass","レンダーパス"
"Alpha Comparison","アルファ比較"
"Custom\0Disabled\0Stencil\0","カスタム\0無効0ステンシル\0"
"Alpha Test","アルファテスト"
"Polygon","ポリゴン"
"Always do not pass.\0<\0==\0<=\0>\0!=\0>=\0Always pass.\0","常にパスしない\0<\0==\0<=\0>\0!=\0>=\0常にパス\0"
"( Pixel Alpha","( ピクセルアルファ"
"Z Buffer","Zバッファ"
"Compare Z Values","Z値を比較"
"Compare Before Texture Processing","テクスチャ処理前の比較"
"Nearest (no interpolation/pixelated)\0Linear (interpolated/blurry)\0","ニアレスト (補間無し/ノイズあり)\0リニア (補間あり/ブラー)\0"
"Never draw.\0Pixel Z < EFB Z\0Pixel Z == EFB Z\0Pixel Z <= EFB Z\0Pixel Z > EFB Z\0Pixel Z != EFB Z\0Pixel Z >= EFB Z\0Always draw.\0","描画しない\0Pixel Z < EFB Z\0Pixel Z == EFB Z\0Pixel Z <= EFB Z\0Pixel Z > EFB Z\0Pixel Z != EFB Z\0Pixel Z >= EFB Z\0常に描画\0"
"Blending","ブレンド"
"Do not blend.\0Blending\0Logical Operations\0Subtract from Frame Buffer\0","ブレンドなし.\0ブレンドあり\0論理演算\0フレームバッファから減算\0"
"Type","タイプ"
"Blend calculation","ブレンドの計算"
"Basic (Not Recommended)\0Maya\0","ベーシック (非推奨)\0Maya\0"
"0\01\0EFB Color\01 - EFB Color\0Pixel Alpha\01 - Pixel Alpha\0EFB Alpha\01 - EFB Alpha\0","0\01\0EFBカラー\01 - EFBカラー\0ピクセルアルファ\01 - ピクセルアルファ\0EFBアルファ\01 - EFBアルファ\0"
"Option","設定"
"0\01\0Pixel Color\01 - Pixel Color\0Pixel Alpha\01 - Pixel Alpha\0EFB Alpha\01 - EFB Alpha\0","0\01\0ピクセルカラー\01 - ピクセルカラー\0ピクセルアルファ\01 - ピクセルアルファ\0EFBアルファ\01 - EFBアルファ\0"
"( Pixel Color * ","( ピクセルカラー * "
"Mapping","マッピング"
") + ( EFB Color * ",") + ( EFBカラー * "
"Swap %i","%i 入れ替え"
"Logical Operations (Unsupported)","論理演算 (非対応)"
"Apply","適用"
"None\0Direct\0U8 / 8-bit / 0-255\0U16 / 16-bit / 0-65535\0","なし\0直接\0U8 / 8-bit / 0-255\0U16 / 16-bit / 0-65535\0"
"Reset","リセット"
"Sample from Red\0Sample from Green\0Sample from Blue\0Sample from Alpha\0","赤からサンプル\0緑からサンプル\0青からサンプル\0アルファからサンプル\0"
"Table ID","テーブルID"
"LineStrips","ラインストリップ"
"Red Destination","赤の送り先"
"Green Destination","緑の送り先"
"Blue Destination","青の送り先"
"Alpha Destination","アルファの送り先"
"Add a Stage","ステージを追加"
"Stages","ステージ"
"Stage ","ステージ"
"Stage Setting","ステージの設定"
"Channel 0\0Channel 1\0None\0Indirect Alpha\0Normalized Indirect Alpha\0","チャンネル 0\0チャンネル 1\0なし\0間接アルファ\0正規化された間接アルファ\0"
"Channel ID","チャンネルID"
"Color Stage","カラーステージ"
"Alpha Stage","アルファステージ"
"Constant\0Uniform\0","コンスタント\0ユニフォーム\0"
"(Texture Matrix %u)","(テクスチャマトリックス %u)"
"Konst Selection","定数の形式選択"
"Export","エクスポート"
"R\0G\0B\0A\0","R\0G\0B\0A\0"
"Operand A","オペランド A"
"Operand C","オペランド C"
"Operand D","オペランド D"
"No bias\0Add middle gray\0Subtract middle gray\0","バイアスなし\0中間のグレーを追加\0中間のグレーを減算\0"
"Bias","バイアス"
"100% brightness\0200% brightness\0400% brightness\050% brightness\0","明度100%\0明度200%\0明度400%\0明度50%\0"
"Scale","スケール"
"Clamp calculation to 0-255","計算を0～255の範囲にクランプ"
"Register 3\0Register 0\0Register 1\0Register 2\0","レジスタ 3\0レジスタ 0\0レジスタ 1\0レジスタ 2\0"
"Texture ","テクスチャ"
"Add Sampler","サンプラーを追加"
"Textures","テクスチャ"
"Image","画像"
"Advanced","アドバンス"
"Rotate","回転"
"Translate","移動"
"Clamp\0Repeat\0Mirror\0","クランプ\0リピート\0ミラー\0"
"V tiling","Vタイリング"
"Filtering","フィルター方法"
"Use mipmap","ミップマップを使用"
"Mipmapping","ミップマップ方法"
"Interpolation type","補間タイプ"
"LOD bias","LODバイアス"
"Edge LOD","エッジLOD"
"Entries","エントリ"
"Bias clamp","バイアスクランプ"
"Anisotropic filtering level","異方性フィルタリングレベル"
"Show sides of faces:","面の可視性:"
"Front","表"
"Back","裏"
"Vertex Index","頂点インデックス"
"Texture Coordinate Generator","テクスチャ座標生成"
"UV Matrix: 2x4\0UVW Matrix: 3x4\0","UVマトリックス: 2x4\0UVWマトリックス: 3x4\0"
"Matrix Size","マトリックスサイズ"
"Identity Matrix","単位行列"
"Matrix ID","マトリックスID"
"Source data","元データ"
"I4\0I8\0IA4\0IA8\0RGB565\0RGB5A3\0RGBA8\0CMPR\0","I4\0I8\0IA4\0IA8\0RGB565\0RGB5A3\0RGBA8\0CMPR\0"
"Transform Model","モデルをトランスフォーム"
"Standard Mapping\0Environment Mapping\0View Projection Mapping\0Manual Projection Mapping\0Environment Light Mapping\0Environment Specular Mapping\0Manual Environment Mapping\0","スタンダードマッピング\0環境マッピング\0ビュー投影マッピング\0マニュアル投影マッピング\0環境ライトマッピング\0環境スペキュラーマッピング\0マニュアル環境マッピング\0"
"Standard\0J3D Basic: Don't remap into texture space (Keep -1..1 not 0...1)\0J3D Old: Keep translation column.\0","スタンダード\0ベーシックJ3D: テクスチャスペースに再マップしないでください (-1..1を維持 0...1ではない)\0古いJ3D: 移動列の維持\0"
"Rotation","回転"
"Translation","移動"
"Parent ID: %i","親ID: %i"
"Name Materials By Polygons","ポリゴンごとににマテリアル命名"
"Material","マテリアル"
"Sorting Priority","絞り込みの優先順位"
"Matrix Primitives","マトリックスのプリミティブ"
"Matrix Prim: ","マトリックスのプリミティブ: "
"Default Matrix: %i","デフォルトマトリックス: %i"
"Primitive Index","プリミティブインデックス"
"Quads","四角"
"Triangles","三角"
"TriangleStrips","三角形ストリップ"
"Attribute Type","属性タイプ"
"Attribute Format","属性フォーマット"
"Ultimate\0Lanczos\0","アルティメット\0ランチョス\0"
"Algorithm","演算手順"
"Texture Format","テクスチャフォーマット"
"Okay","OK"
"Cancel","キャンセル"
"Export image","画像をエクスポート"
"Resize","リサイズ"
"Import","インポート"
"Base Image (LOD 0)","ベース画像 (LOD 0)"
"Materials","マテリアル"
"Calculation Result Output Destination","計算結果の送り先"
"Models","モデル"
"RGB","RGB"
"Bones","ボーン"
"Polygons","ポリゴン"
"Visible","目に見える"
"Light Colors (Usually ignored by games)","ライトカラー (しばしばゲームが無視します)"
"NBT Scale","NBTスケール"
"DRW %i: %i","DRW %i: %i"
"NBT Enabled","NBT有効化"
"Cannot edit this material's lighting data.","このマテリアルのライティングは編集できません"
"No valid image.","有効な画像がありません"
"Register 3 Color","レジスタ 3 カラー"
"Register 3 Alpha","レジスタ 3 アルファ"
"Configuration ","設定"
"J3D Shape","J3Dシェイプ"
"Standard","基本"
"U Scale","Uスケール"
"Mode","モード"
"Matrix Primitive: %i","マトリックス多角形: %i"
"Standard","基本"
"Billboard Matrix","ビルボードマトリックス"
"Computed Matrix:","計算されたマトリックス"
"V Scale","Vスケール"
"Dump Untranslated Strings","翻訳されていないストリングをダンプする"
"Reload Language .csv Files","言語ファイル(.csv)をリロードする"
"Nothing is selected.","何も選択されていません"
"Standard\0XY\0Y\0","スタンダード\0XY\0Y\0"
"Save As","として保存"
"History","履歴"
"Commit [ICON]","コミット [ICON]"
"Undo [ICON]","アンドゥ [ICON]"
"Redo [ICON]","リドゥ [ICON]"
"Record List","リコードリスト"
"(%s) History #%u","(%s) ヒストリ #%u"
"Outliner","アウトライナー"
"Viewport","ビューポート"
"Tabs\0Vertical Tabs\0Headers\0","タブ\0縦型タブ\0ヘッダー\0"
"Invalid Pane","無効なペイン"
"Pane","ペイン"
"Property Editor","プロパティエディター"
"Draw Matrices / Envelopes",
"Sampler ID","サンプラーID"
"Settings","設定"
"Swap ID","ID入れ替え"
"Register 3 Color\0Register 3 Alpha\0Register 0 Color\0Register 0 Alpha\0Register 1 Color\0Register 1 Alpha\0Register 2 Color\0Register 2 Alpha\0Texture Color\0Texture Alpha\0Raster Color\0Raster Alpha\01.0\00.5\0Constant Color Selection\00.0\0\0","レジスタ 3 カラー\0レジスタ 3 アルファ\0レジスタ 0 カラー\0レジスタ 0 アルファ\0レジスタ 1 カラー\0レジスタ 1 アルファ\0レジスタ 2 カラー\0レジスタ 2 アルファ\0テクスチャ カラー\0テクスチャ アルファ\0ラスター カラー\0ラスター アルファ\01.0\00.5\0選択したコンスタントカラー\00.0\0\0"
"Register 3 Alpha\0Register 0 Alpha\0Register 1 Alpha\0Register 2 Alpha\0Texture Alpha\0Raster Alpha\0Constant Alpha Selection\00.0\0\0","レジスタ 3 アルファ\0レジスタ 0 アルファ\0レジスタ 1 アルファ\0レジスタ 2 アルファ\0テクスチャ アルファ\0ラスター アルファ\0選択したコンスタントアルファ\00.0\0\0"
"None","なし"
"J3D Model","J3Dモデル"
"Basic\0XSI\0Maya\0","ベーシック\0XSI\0Maya\0",
"Scaling Rule","スケール規則"
"Matrix %i (Total %i)","マトリックス %i (Total %i)"
"Weight ","重さ "
"Bone","ボーン"
"Influence","影響"
"No selection","選択なし"
"Success","成功"
"Constant Value","コンスタント値"
